,Date,Open,High,Low,Close,Volume,High-Low,Open-Close
2629,21-01-2010,330.00,332.88,325.08,327.65,441080,7.80,2.35
2630,20-01-2010,331.00,333.74,329.56,331.62,377864,4.18,-0.62
2631,19-01-2010,334.25,334.93,328.50,329.56,486720,6.43,4.69
2632,18-01-2010,332.53,336.04,331.88,334.90,1287072,4.16,-2.37
2633,15-01-2010,336.25,336.25,331.93,334.43,711512,4.32,1.82
2634,14-01-2010,337.63,338.75,331.54,336.14,3397944,7.21,1.49
2635,13-01-2010,324.02,337.52,321.88,335.79,5519648,15.64,-11.77
2636,12-01-2010,312.50,324.13,312.50,323.44,4393104,11.63,-10.94
2637,11-01-2010,308.76,313.25,308.76,311.07,1182552,4.49,-2.31
2638,08-01-2010,321.91,321.91,307.50,308.06,1501544,14.41,13.85
2639,07-01-2010,322.50,322.50,314.75,315.66,2158840,7.75,6.84
2640,06-01-2010,327.25,328.25,322.25,323.08,613504,6.00,4.17
2641,05-01-2010,326.79,328.72,319.38,327.50,689696,9.34,-0.71
2642,04-01-2010,325.75,328.69,325.15,326.79,919784,3.54,-1.04
2643,31-12-2009,322.63,326.87,322.63,325.66,734608,4.24,-3.03
2644,30-12-2009,321.27,326.24,321.27,322.42,744632,4.97,-1.15
2645,29-12-2009,324.88,325.00,320.57,322.19,499320,4.43,2.69
2646,24-12-2009,322.63,324.93,320.00,323.79,686784,4.93,-1.16
2647,23-12-2009,314.13,323.75,314.00,322.95,1550736,9.75,-8.82
2648,22-12-2009,314.38,315.88,311.89,312.70,479240,3.99,1.68
2649,21-12-2009,315.89,318.11,310.92,313.55,1013944,7.19,2.34
2650,18-12-2009,319.75,319.75,313.74,315.82,1457976,6.01,3.93
2651,17-12-2009,318.13,321.50,317.00,320.17,1116584,4.50,-2.04
2652,16-12-2009,314.50,318.74,310.75,318.10,1495040,7.99,-3.60
2653,15-12-2009,310.00,314.75,310.00,313.32,1114112,4.75,-3.32
2654,14-12-2009,306.88,314.99,306.00,312.25,1869032,8.99,-5.37
2655,11-12-2009,307.65,310.87,306.07,306.85,1074216,4.80,0.80
2656,10-12-2009,308.75,308.75,303.75,305.58,986608,5.00,3.17
2657,09-12-2009,303.63,307.88,302.78,307.02,1049424,5.10,-3.39
2658,08-12-2009,298.74,305.62,297.50,305.02,1245200,8.12,-6.28
2659,07-12-2009,297.50,303.16,296.77,298.74,1319176,6.39,-1.24
2660,04-12-2009,297.09,303.09,296.25,297.82,1851432,6.84,-0.73
2661,03-12-2009,299.50,301.13,295.39,297.09,909144,5.74,2.41
2662,02-12-2009,299.75,300.25,294.55,299.52,693032,5.70,0.23
2663,01-12-2009,299.88,300.00,294.41,299.35,556864,5.59,0.53
2664,30-11-2009,292.88,299.25,292.63,298.00,1100696,6.62,-5.12
2665,27-11-2009,293.75,298.62,288.39,291.04,1074560,10.23,2.71
2666,26-11-2009,303.75,305.63,295.70,298.36,690912,9.93,5.39
2667,25-11-2009,304.00,307.24,300.30,304.20,724504,6.94,-0.20
2668,24-11-2009,303.00,305.63,298.88,303.20,1020304,6.75,-0.20
2669,23-11-2009,301.38,302.50,298.89,300.95,554664,3.61,0.43
2670,20-11-2009,298.13,305.88,297.75,303.44,705488,8.13,-5.31
2671,19-11-2009,302.38,302.38,299.13,301.19,614008,3.25,1.19
2672,18-11-2009,299.93,305.19,298.50,304.20,1339776,6.69,-4.27
2673,17-11-2009,293.25,300.38,293.25,299.60,1437912,7.13,-6.35
2674,16-11-2009,296.25,296.50,291.92,293.85,987048,4.58,2.40
2675,13-11-2009,290.88,296.38,289.14,294.85,1797048,7.24,-3.97
2676,12-11-2009,288.50,293.63,287.50,290.34,1179936,6.13,-1.84
2677,11-11-2009,278.12,289.44,276.25,288.59,2058400,13.19,-10.47
2678,10-11-2009,281.26,282.00,275.45,277.28,568096,6.55,3.98
2679,09-11-2009,277.88,280.00,275.07,279.26,721352,4.93,-1.38
2680,06-11-2009,283.62,283.62,274.04,277.23,867232,9.58,6.39
2681,05-11-2009,278.14,279.38,269.52,277.89,17961856,9.86,0.25
2682,04-11-2009,271.51,282.35,271.51,279.95,1165120,10.84,-8.44
2683,03-11-2009,274.38,278.50,265.89,267.42,903136,12.61,6.96
2684,30-10-2009,282.50,282.50,267.63,275.68,1366824,14.87,6.82
2685,29-10-2009,279.30,280.13,273.88,275.95,759928,6.25,3.35
2686,28-10-2009,280.56,283.50,277.63,282.11,680624,5.87,-1.55
2687,27-10-2009,281.88,287.25,277.38,280.56,1190552,9.87,1.32
2688,26-10-2009,282.25,287.13,281.63,284.22,1197872,5.50,-1.97
2689,23-10-2009,277.88,283.99,276.63,282.53,922952,7.36,-4.65
2690,22-10-2009,277.63,281.25,272.75,276.44,1847376,8.50,1.19
2691,21-10-2009,272.00,279.52,269.50,270.69,4845072,10.02,1.31
2692,20-10-2009,274.63,278.00,271.75,273.21,1610216,6.25,1.42
2693,17-10-2009,285.88,285.88,272.65,274.20,270312,13.23,11.68
2694,16-10-2009,277.50,279.98,273.01,273.74,1491760,6.97,3.76
2695,15-10-2009,282.25,283.13,273.50,276.96,990712,9.63,5.29
2696,14-10-2009,280.63,283.00,277.50,281.97,861344,5.50,-1.34
2697,12-10-2009,273.75,280.69,273.13,279.97,1019032,7.56,-6.22
2698,09-10-2009,281.95,286.71,271.02,272.30,3447576,15.69,9.65
2699,08-10-2009,283.14,283.75,273.74,276.41,1768712,10.01,6.73
2700,07-10-2009,290.13,292.50,278.52,281.49,1325032,13.98,8.64
2701,06-10-2009,291.13,294.07,285.37,288.86,771440,8.70,2.27
2702,05-10-2009,288.75,291.75,286.75,289.83,640592,5.00,-1.08
2703,01-10-2009,287.63,293.12,286.25,290.72,1307384,6.87,-3.09
2704,30-09-2009,286.26,290.63,286.26,288.55,703048,4.37,-2.29
2705,29-09-2009,283.50,287.47,282.50,285.98,613760,4.97,-2.48
2706,25-09-2009,281.50,284.38,279.38,280.67,1422568,5.00,0.83
2707,24-09-2009,293.72,293.72,282.69,285.64,2669920,11.03,8.08
2708,23-09-2009,300.63,300.63,295.00,295.70,650480,5.63,4.93
2709,22-09-2009,295.88,301.84,292.63,300.70,1104064,9.21,-4.82
2710,18-09-2009,296.27,298.50,293.75,295.48,680304,4.75,0.79
2711,17-09-2009,290.88,295.88,290.01,295.12,1171856,5.87,-4.24
2712,16-09-2009,285.32,290.55,284.18,289.71,1806776,6.37,-4.39
2713,15-09-2009,281.28,284.38,280.01,283.76,1231176,4.37,-2.48
2714,14-09-2009,280.63,282.49,280.08,281.32,904376,2.41,-0.69
2715,11-09-2009,281.29,283.99,280.64,283.25,1132856,3.35,-1.96
2716,10-09-2009,275.75,281.01,275.30,279.39,995440,5.71,-3.64
2717,09-09-2009,275.01,277.12,272.25,274.14,1101320,4.87,0.87
2718,08-09-2009,273.38,279.38,273.13,275.01,843896,6.25,-1.63
2719,07-09-2009,276.25,278.50,274.42,277.93,918736,4.08,-1.68
2720,04-09-2009,275.00,276.87,267.28,275.05,1038072,9.59,-0.05
2721,03-09-2009,271.26,275.00,266.90,273.53,1078336,8.10,-2.27
2722,02-09-2009,266.25,272.25,265.90,270.65,628144,6.35,-4.40
2723,01-09-2009,267.48,273.72,265.30,267.84,1074024,8.42,-0.36
2724,31-08-2009,271.00,271.00,265.63,266.54,592944,5.37,4.46
2725,28-08-2009,273.13,274.88,267.82,273.46,1081312,7.06,-0.33
2726,27-08-2009,272.50,275.34,265.15,273.72,1569616,10.19,-1.22
2727,26-08-2009,263.13,273.50,262.25,272.67,2034592,11.25,-9.54
2728,25-08-2009,258.50,263.00,255.13,262.02,1212336,7.87,-3.52
2729,24-08-2009,255.13,260.30,255.13,259.52,924744,5.17,-4.39
2730,21-08-2009,249.14,254.52,246.50,253.57,1862312,8.02,-4.43
2731,20-08-2009,246.30,249.38,244.39,249.10,1752264,4.99,-2.80
2732,19-08-2009,248.13,248.50,242.00,243.84,1205256,6.50,4.29
2733,18-08-2009,246.87,249.88,244.63,246.43,1160656,5.25,0.44
2734,17-08-2009,251.88,252.34,246.41,247.89,843880,5.93,3.99
2735,14-08-2009,257.50,258.00,253.26,254.99,509576,4.74,2.51
2736,13-08-2009,256.89,260.13,254.88,258.15,823944,5.25,-1.26
2737,12-08-2009,260.00,260.00,250.00,255.35,563944,10.00,4.65
2738,11-08-2009,260.63,263.63,256.88,260.21,990960,6.75,0.42
2739,10-08-2009,256.50,264.13,256.26,260.85,1806056,7.87,-4.35
2740,07-08-2009,253.13,257.00,251.88,255.24,637856,5.12,-2.11
2741,06-08-2009,262.25,262.50,255.00,256.83,842232,7.50,5.42
2742,05-08-2009,256.32,263.13,256.32,261.82,1308032,6.81,-5.50
2743,04-08-2009,260.04,262.50,252.75,255.46,869000,9.75,4.58
